Sample,condition,sample_type,model
NORMAL_10KP_2481_miRNA1,k10,cell1,~condition
NORMAL_10KP_2373_miRNA1,k10,cell1,
NORMAL_PLAC_2373_miRNA1,plac,cell1,
NORMAL_10KP_2368_miRNA1,k10,cell1,
NORMAL_150KP_2368_miRNA1,k150,cell1,
NORMAL_150KP_2367_miRNA1,k150,cell1,
NORMAL_150KP_2481_miRNA1,k150,cell1,
NORMAL_PLAC_2440_miRNA1,plac,cell1,
NORMAL_150KP_2440_miRNA1,k150,cell1,
NORMAL_PLAC_2368_miRNA1,plac,cell1,
NORMAL_PLAC_2367_miRNA1,plac,cell1,
NORMAL_150KP_2545_miRNA1,k150,cell1,
NORMAL_150KP_2373_miRNA1,k150,cell1,
NORMAL_PLAC_2481_miRNA1,plac,cell1,
NORMAL_10KP_2545_miRNA1,k10,cell1,
NORMAL_10KP_2440_miRNA1,k10,cell1,
NORMAL_10KP_2367_miRNA1,k10,cell1,
NORMAL_PLAC_2545_miRNA1,plac,cell1,
